CremonaReference,Discriminant,Point,Height,Provable
2700a1,-20,(-10 : -25*s : 1),0.248371898630642752970046869,0

2700a2,-20,(10 : 75*s : 1),0.0827906328768809176566822894,0

2700b1,885,(0 : 30*s : 1),1.09002101201348824264458229,0

2700b2,60,(-30 : 225*s : 1),0.0827906328768809176566822894,0

2700c1,-20,(-10 : 25/2*s : 1),0.394062856959050320462503751,0

2700c2,-7,(15 : -225*s : 1),0.497423396775021929736014886,0

2700d1,-3,(3 : 6*s : 1),0.409592555817396048884973861,0

2700d2,-159,(-21 : 18*s : 1),0.898826256169530241878410529,0

2700e1,12,(-2 : -s : 1),0.455968041358644267379475262,1

2700e2,-4,(6 : 9*s : 1),0.455968041358644267379475262,0

2700f1,-15,(0 : -15*s : 1),0.656622630627608652030782250,0

2700f2,-15,(15 : -225*s : 1),0.875496840836811536041043000,0

2700g1,165,(10 : 5*s : 1),0.797800762104078996802712963,0

2700g2,-255,(30 : -15*s : 1),1.12147125510701202291180141,0

2700h1,-15,(1/2*(-5*s + 25) : 1/2*(25*s - 75) :  1),0.345368857217533436669314367,0


2700h2,-40,(-15 : 45/2*s : 1),0.698169823757274618548957863,0

2700i1,-15,(15 : -45*s : 1),0.353341390771555255855025922,0

2700j1,5,(-5 : -10*s : 1),0.409592555817396048884973861,0

2700j2,265,(35 : -30*s : 1),0.898826256169530241878410529,0

2700k1,1,(5 : 15 : 1),0.0883353476928888139637564804,0

2700l1,-3,(s + 1 : -s : 1),0.345368857217533436669314367,1

2700l2,1,(6 : 9 : 1),0.345368857217533436669314367,0

2700m1,1,(20 : 25 : 1),0.381766139843234184803943118,0

2700m2,60,(30 : -75/2*s : 1),0.394062856959050320462503751,0

2700n1,12,(-s + 1 : -s : 1),0.365971234629935407487478055,0

2700n2,8,(13 : 3*s : 1),0.268023150145798684076815989,0

2700o1,12,(10 : 25/2*s : 1),0.407645901053466343459007495,0

2700o2,8,(5/2 : 375/8*s : 1),0.667541536837567619339715796,0

2700p1,60,(10 : 5*s : 1),0.150106895213291664510621188,0

2700p2,-24,(-3*s - 12 : -18*s + 18 : 1),0.507800989225711943849270924,0

2700q1,5,(-5 : -15*s : 1),0.353341390771555255855025922,0

2700r1,-15,(15 : -30*s : 1),0.409592555817396048884973861,0

2700r2,NA,NA,E1,NA

2700s1,-3,(3 : -9*s : 1),0.353341390771555255855025922,0

2700t1,60,(-10 : 5*s : 1),0.455968041358644267379475262,0

2700t2,-420,(-30 : 15*s : 1),0.873446870532166233404418475,0

2700u1,24,(5 : -5/2*s : 1),0.545390230751167092595362301,0

2700u2,-11,(-6 : 9*s : 1),0.797800762104078996802712963,0

