CremonaReference,Discriminant,Point,Height,Provable
744a1,1,(2 : 3 : 1),0.198532114340775392412365946,0

744b1,40,(3*s + 9 : -9*s - 57 : 1),0.739009877333370864915569726,0

744b2,40,(-3*s + 10 : -9*s + 66 : 1),0.369504938666685432457784863,0

744b3,28,(-3*s + 26 : 21*s - 102 : 1),0.422402406396737403931465378,0

744b4,-104,(-3*s + 10 : -18*s - 30 : 1),0.702093584289322013865443507,0

744c1,1,(8 : 27 : 1),0.0738670094555954764783532503,0

744d1,-4,(15 : 93/2*s : 1),0.157724362323340758761407535,0

744e1,-4,(2 : -6*s : 1),0.0932465278418876892743225612,0

744f1,1,(44 : -279 : 1),0.0823966671070618289011900750,0

744g1,1,(6 : 3 : 1),0.0635771181298602646420893549,0

