CremonaReference,Discriminant,Point,Height
1452a1,-11,(-18 : 66*s : 1),0.158112115844492896074855512


1452b1,1,(2 : 6 : 1),0.158112115844492896074855512


1452c1,-55,(15 : -99*s : 1),0.129481275563238559853047545


1452c2,-88,(15 : -1089/2*s : 1),0.861966325071611749323865604


1452d1,33,(7 : -11*s : 1),0.311641691885600072853416607


1452d2,33,(-4 : -22*s : 1),0.155820845942800036426708303


1452e1,-8,(3*s - 8 : 15*s - 42 : 1),0.144017109621799323757094019


1452e2,-223,(7 : -132*s : 1),2.89540446639818396113314308


1452f1,248,(-30 : 189*s : 1),3.33309144720420019562173930


1452f2,NA,NA,E1


1452g1,-4,(-9 : -s : 1),0.275655101921954799155388464


1452h1,429,(-15 : 66*s : 1),1.61283620284035244183137280


