CremonaReference,Discriminant,Point,Height
30a1,-20,(1/2*(s + 2) : -s - 1 : 1),0.448117683628981815073472655


30a2,24,(1/2*(-s + 8) : -s + 5 : 1),0.627093212150540050400564649


30a3,-7,(1/2*(-5*s + 1) : -5*s - 12 : 1),0.180703905828502480527202807


30a4,28,(3*s + 11 : 1/2*(21*s + 126) : 1),0.379048679074714215552156657


30a5,28,(1 : 1/2*(-15*s - 2) : 1),0.379048679074714215552156658


30a6,57,(1/2*(5*s + 17) : 5*s + 44 : 1),0.335299156294081873956878584


30a7,-143,(-34 : 1/2*(-15*s + 33) : 1),0.852853531067072172924107956


30a8,-91,(2*s - 3 : -9*s + 100 : 1),0.649227003761208727476031251


