CremonaReference,Discriminant,Point,Height,Provable
96a1,8,(1/2*s : -1/2*s : 1),0.168950466801510416536726509,1

96a2,8,(2*s + 3 : -4*s - 12 : 1),0.337900933603020833073453018,0

96a3,8,(-s + 6 : 4*s - 12 : 1),0.337900933603020833073453018,0

96a4,-3,(-s - 1 : -s + 3 : 1),0.155042418212417594075000868,0

96b1,12,(1/2*(-3*s + 10) : 1/2*(9*s - 30) : 1),0.310084836424835188150001737,1

96b2,12,(2*s + 4 : -4*s - 14 : 1),0.620169672849670376300003473,0

96b3,33,(1/2*(s + 1) : 1/2*(s - 9) : 1),0.461739202418610876458912859,0

96b4,-8,(0 : -s : 1),0.337900933603020833073453018,0

