CremonaReference,Discriminant,Point,Height,Provable
2706a1,33,(1/2*(s + 5) : 1/2*(-s - 19) : 1),0.276909515218724875868137112,0

2706a2,37,(2*s + 10 : 7*s + 56 : 1),0.472798698768551396075657832,0

2706b1,789,(-32 : 3872*s + 16 : 1),2.86025514742666296867209357,0

2706c1,-15,(-15 : 1/2*(11*s + 15) : 1),0.794772349670699890046714435,0

2706c2,-8,(10 : 1/2*(-99*s - 10) : 1),0.545568500637923232218726484,0

2706d1,-51,(7 : 96*s - 4 : 1),0.922041805716129193804056566,0

2706d2,-3,(1 : -451*s - 1 : 1),0.283098148691067974140351909,0

2706e1,5,(5 : -22*s - 3 : 1),0.804964978074359577482647129,0

2706e2,21,(1 : -44*s - 1 : 1),0.853709469272258864049217593,0

2706f1,8,(3 : 164*s - 2 : 1),0.537465830568263809074801639,0

2706f2,21,(29 : 242*s - 15 : 1),0.389522545201763896097057865,0

2706g1,861,(-63 : -66*s + 31 : 1),1.69534251235618405638859890,0

2706g2,232,(37 : 66*s - 19 : 1),1.12762396482443856158317879,0

2706g3,357,(-33 : 82*s + 16 : 1),1.34180933340479684960306807,0

2706g4,-811,(-73 : -22*s + 36 : 1),3.53643598429101398795439362,0

2706h1,1,(39 : 196 : 1),0.118870964661781408624034986,0

2706i1,33,(1/2*(-3*s + 11) : 5*s - 28 : 1),0.552364146916173925500825498,0

2706i2,-39,(s - 1 : 1/2*(-5*s + 27) : 1),0.366858236109730258338575066,0

2706j1,1,(5 : 8 : 1),0.212378930350068601099086216,0

2706k1,NA,NA,E1,NA

2706l1,-4,(1/2*(9*s + 12) : 18*s - 8 : 1),0.212018285040264421059166111,0

2706l2,-4,(-7 : 1/2*(-33*s + 6) : 1),0.424036570080528842118332222,0

2706m1,1,(1 : 2 : 1),0.246978893334498562410490908,0

2706n1,1,(43 : -198 : 1),0.143767191836855155461559418,0

2706n2,1,(-77 : -358 : 1),1.15013753469484124369247534,0

2706o1,1,(-60 : -708 : 1),0.121579424255772550840476469,0

2706o2,-23,(-26 : 729*s + 13 : 1),0.632124096040616305499022671,0

2706p1,1,(42 : 195 : 1),0.113037577275505180672867647,0

2706q1,-4,(s - 6 : -6 : 1),0.208925122989600995111982704,0

2706q2,-4,(-16 : -33*s + 8 : 1),0.417850245979201990223965407,0

2706r1,1,(-18 : 57 : 1),0.268639048332801594492982725,0

2706r2,-8,(3*s - 2 : -54*s + 49 : 1),0.134319524166400797246491363,0

2706r3,-155,(-41 : 1/2*(123*s + 41) : 1),0.887847669401427665848299773,0

2706r4,-35,(11 : 1/2*(-99*s - 11) : 1),0.676351833015214160284097348,0

