CremonaReference,Discriminant,Point,Height,Provable
325a1,5,(1/2*(-5*s - 9) : -13 : 1),0.257133601693766455605727476,0

325a2,-35,(18 : 1/2*(-65*s - 1) : 1),0.516308721475080594591444487,0

325b1,13,(1/2*(s + 1) : 1/2*(-s - 1) : 1),0.243267195371462096628072957,1

325b2,-8,(-5/2 : 1/8*(-13*s - 4) : 1),0.298567990643884764479211025,0

325c1,5,(1/2*(5*s + 5) : 1/2*(-15*s - 15) : 1),0.0938785246653165804511182192,0

325c2,5,(5 : 1/2*(-25*s - 5) : 1),0.187757049330633160902236438,0

325d1,-91,(-17 : 1/2*(-5*s - 1) : 1),0.258829824050969886399315239,0

325d2,85,(-27 : 1/2*(65*s - 1) : 1),0.544163529202860658498183553,0

325e1,105,(1/2*(s - 11) : 1/2*(3*s + 9) : 1),0.504676224414610129697662861,0

325e2,NA,NA,E1,NA

