CremonaReference,Discriminant,Point,Height
832a1,8,(-1 : -2*s : 1),0.235482478174541388879450170


832b1,-8,(1 : 2*s : 1),0.235482478174541388879450170


832c1,-8,(-7 : 8*s : 1),0.166288191600139793395140784


832c2,-8,(-7 : 16*s : 1),0.498864574800419380185422352


832c3,-472,(-55 : 32*s : 1),0.801778643587793277471833560


832d1,-24,(0 : -s : 1),0.180117663379085318297847137


832d2,-24,(-2 : 2*s : 1),0.360235326758170636595694275


832e1,-8,(-7 : -4*s : 1),0.0787854656963044207747492675


832f1,104,(14 : -4*s : 1),0.197635432545543951566601123


832f2,-4,(-16 : -338*s : 1),0.357271179785617095497545826


832g1,8,(7 : -8*s : 1),0.166288191600139793395140784


832g2,8,(7 : 16*s : 1),0.498864574800419380185422352


832g3,536,(-9 : 64*s : 1),1.28528828533386306966887456


832h1,24,(0 : -s : 1),0.180117663379085318297847137


832h2,24,(2 : 2*s : 1),0.360235326758170636595694275


832i1,8,(7 : 4*s : 1),0.0787854656963044207747492675


832j1,-104,(-14 : 4*s : 1),0.197635432545543951566601123


832j2,1,(42 : 416 : 1),0.0893177949464042738743864572


